,Your Rating,Date Rated,Title,URL,IMDb Rating,Runtime (mins),Year,Genres,Release Date,Directors,Viewing Year
35,3,2022-02-22,Cette musique ne joue pour personne,https://www.imdb.com/title/tt10965976/,6.4,107,2021,Drama,2021-07-10,Samuel Benchetrit,Before 2022
36,7,2022-02-22,Forrest Gump,https://www.imdb.com/title/tt0109830/,8.8,142,1994,"Drama, Romance",1994-06-23,Robert Zemeckis,2022
37,7,2022-02-22,Cinquième set,https://www.imdb.com/title/tt11032810/,6.5,105,2020,"Drama, Sport",2020-08-30,Quentin Reynaud,Before 2022
38,2,2022-02-22,Poly,https://www.imdb.com/title/tt11060092/,5.6,102,2020,Family,2020-08-29,Nicolas Vanier,Before 2022
39,10,2022-02-22,Un monde,https://www.imdb.com/title/tt11087960/,7.4,72,2021,Drama,2021-07-08,Laura Wandel,2022
40,2,2022-02-22,Garçon chiffon,https://www.imdb.com/title/tt11093134/,5.6,108,2020,"Comedy, Drama",2020-08-28,Nicolas Maury,Before 2022
41,7,2022-02-22,Blue Bayou,https://www.imdb.com/title/tt11121664/,7.1,117,2021,Drama,2021-07-13,Justin Chon,Before 2022
42,6,2022-02-22,Voir le jour,https://www.imdb.com/title/tt11154574/,5.8,91,2020,Drama,2020-08-12,Marion Laine,Before 2022
43,2,2022-02-22,JFK Revisited: Through the Looking Glass,https://www.imdb.com/title/tt11173544/,7.6,118,2021,Documentary,2021-07-12,Oliver Stone,Before 2022
44,6,2022-02-21,House of Gucci,https://www.imdb.com/title/tt11214590/,6.7,158,2021,"Crime, Drama",2021-11-09,Ridley Scott,Before 2022
45,7,2022-02-21,Licorice Pizza,https://www.imdb.com/title/tt11271038/,7.7,133,2021,"Comedy, Drama, Romance",2021-11-26,Paul Thomas Anderson,Before 2022
46,5,2022-02-21,Don't Look Up,https://www.imdb.com/title/tt11286314/,7.2,138,2021,"Comedy, Drama, Sci-Fi",2021-12-05,Adam McKay,Before 2022
47,8,2022-02-22,En attendant Bojangles,https://www.imdb.com/title/tt11310608/,7.0,124,2021,Drama,2021-10-13,Régis Roinsard,2022
48,6,2022-02-22,Madeleine Collins,https://www.imdb.com/title/tt11310670/,6.5,102,2021,"Drama, Thriller",2021-09-04,Antoine Barraud,2022
49,6,2022-02-22,De bas étage,https://www.imdb.com/title/tt11338144/,5.5,86,2021,Drama,2021-07-15,Yassine Qnia,Before 2022
50,6,2022-02-22,Tokyo Shaking,https://www.imdb.com/title/tt11450972/,6.2,101,2021,Drama,2021-06-23,Olivier Peyon,Before 2022
51,6,2022-02-22,Envole-moi,https://www.imdb.com/title/tt11568322/,6.0,91,2021,"Comedy, Drama",2021-05-19,Christophe Barratier,Before 2022
52,8,2022-02-21,Dune: Part One,https://www.imdb.com/title/tt1160419/,8.1,155,2021,"Action, Adventure, Drama, Sci-Fi",2021-09-03,Denis Villeneuve,Before 2022
53,8,2022-02-22,Les intranquilles,https://www.imdb.com/title/tt11611486/,6.6,117,2021,Drama,2021-07-16,Joachim Lafosse,Before 2022
54,8,2022-02-22,Petite fille,https://www.imdb.com/title/tt11753696/,7.5,88,2020,Documentary,2020-02-22,Sébastien Lifshitz,Before 2022
55,6,2022-02-22,Ghahreman,https://www.imdb.com/title/tt11777738/,7.5,127,2021,Drama,2021-07-13,Asghar Farhadi,Before 2022
56,6,2022-02-22,Moneyboys,https://www.imdb.com/title/tt11783988/,6.4,118,2021,Drama,2021-07-12,C.B. Yi,Before 2022
57,6,2022-02-22,Women Do Cry,https://www.imdb.com/title/tt11873754/,4.8,107,2021,Drama,2021-07-14,"Mina Mileva, Vesela Kazakova",Before 2022
58,8,2022-02-22,La vita è bella,https://www.imdb.com/title/tt0118799/,8.6,116,1997,"Comedy, Drama, Romance, War",1997-12-20,Roberto Benigni,Before 2022
59,10,2022-02-22,The Truman Show,https://www.imdb.com/title/tt0120382/,8.1,103,1998,"Comedy, Drama",1998-06-01,Peter Weir,Before 2022
60,8,2022-02-22,Moneyball,https://www.imdb.com/title/tt1210166/,7.6,133,2011,"Biography, Drama, Sport",2011-09-09,Bennett Miller,Before 2022
61,8,2022-02-22,Le discours,https://www.imdb.com/title/tt12105554/,6.4,87,2020,Comedy,2020-09-01,Laurent Tirard,Before 2022
62,10,2022-02-22,Beautiful Boy,https://www.imdb.com/title/tt1226837/,7.3,120,2018,"Biography, Drama",2018-09-07,Felix van Groeningen,Before 2022
63,8,2022-02-22,Gagarine,https://www.imdb.com/title/tt12444424/,6.9,98,2020,Drama,2020-09-26,"Fanny Liatard, Jérémy Trouilh",Before 2022
64,8,2022-02-22,Un triomphe,https://www.imdb.com/title/tt12444440/,7.3,105,2020,"Comedy, Drama",2020-08-28,Emmanuel Courcol,Before 2022
